"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2010",42823.927966,
"AUS","GDP","TOT","USD_CAP","A","2011",44460.605016,
"AUS","GDP","TOT","USD_CAP","A","2012",43911.683304,
"AUS","GDP","TOT","USD_CAP","A","2013",47796.022174,
"AUS","GDP","TOT","USD_CAP","A","2014",47648.633963,
"AUS","GDP","TOT","USD_CAP","A","2015",47266.591718,
"AUS","GDP","TOT","USD_CAP","A","2016",50152.476571,
"AUS","GDP","TOT","USD_CAP","A","2017",50758.582318,
"AUS","GDP","TOT","USD_CAP","A","2018",53118.792237,
"AUS","GDP","TOT","USD_CAP","A","2019",53670.04007,
"AUT","GDP","TOT","USD_CAP","A","2010",42013.885754,
"AUT","GDP","TOT","USD_CAP","A","2011",44469.209642,
"AUT","GDP","TOT","USD_CAP","A","2012",46477.655075,
"AUT","GDP","TOT","USD_CAP","A","2013",47936.677963,
"AUT","GDP","TOT","USD_CAP","A","2014",48813.534409,
"AUT","GDP","TOT","USD_CAP","A","2015",49942.056293,
"AUT","GDP","TOT","USD_CAP","A","2016",52665.087457,
"AUT","GDP","TOT","USD_CAP","A","2017",54188.360666,
"AUT","GDP","TOT","USD_CAP","A","2018",56956.110562,
"AUT","GDP","TOT","USD_CAP","A","2019",60590.199652,
"BEL","GDP","TOT","USD_CAP","A","2010",39833.141536,
"BEL","GDP","TOT","USD_CAP","A","2011",40942.230717,
"BEL","GDP","TOT","USD_CAP","A","2012",42290.858433,
"BEL","GDP","TOT","USD_CAP","A","2013",43671.146878,
"BEL","GDP","TOT","USD_CAP","A","2014",44929.532494,
"BEL","GDP","TOT","USD_CAP","A","2015",46200.86629,
"BEL","GDP","TOT","USD_CAP","A","2016",48597.487117,
"BEL","GDP","TOT","USD_CAP","A","2017",50442.060625,
"BEL","GDP","TOT","USD_CAP","A","2018",52530.381806,
"BEL","GDP","TOT","USD_CAP","A","2019",56621.428343,
"CAN","GDP","TOT","USD_CAP","A","2010",40099.497886,
"CAN","GDP","TOT","USD_CAP","A","2011",41666.718851,
"CAN","GDP","TOT","USD_CAP","A","2012",42290.879082,
"CAN","GDP","TOT","USD_CAP","A","2013",44298.514462,
"CAN","GDP","TOT","USD_CAP","A","2014",45753.782936,
"CAN","GDP","TOT","USD_CAP","A","2015",44670.054374,
"CAN","GDP","TOT","USD_CAP","A","2016",46472.368771,
"CAN","GDP","TOT","USD_CAP","A","2017",48317.191163,
"CAN","GDP","TOT","USD_CAP","A","2018",49992.811418,
"CAN","GDP","TOT","USD_CAP","A","2019",50522.150242,
"CZE","GDP","TOT","USD_CAP","A","2010",27763.600068,
"CZE","GDP","TOT","USD_CAP","A","2011",28999.754757,
"CZE","GDP","TOT","USD_CAP","A","2012",29258.904853,
"CZE","GDP","TOT","USD_CAP","A","2013",30828.526409,
"CZE","GDP","TOT","USD_CAP","A","2014",32504.217576,
"CZE","GDP","TOT","USD_CAP","A","2015",33909.309243,
"CZE","GDP","TOT","USD_CAP","A","2016",36101.285601,
"CZE","GDP","TOT","USD_CAP","A","2017",38842.896268,
"CZE","GDP","TOT","USD_CAP","A","2018",41157.370409,
"CZE","GDP","TOT","USD_CAP","A","2019",44870.504406,
"DNK","GDP","TOT","USD_CAP","A","2010",43000.910089,
"DNK","GDP","TOT","USD_CAP","A","2011",44407.94207,
"DNK","GDP","TOT","USD_CAP","A","2012",44808.549212,
"DNK","GDP","TOT","USD_CAP","A","2013",46742.939663,
"DNK","GDP","TOT","USD_CAP","A","2014",47905.477079,
"DNK","GDP","TOT","USD_CAP","A","2015",49058.142344,
"DNK","GDP","TOT","USD_CAP","A","2016",51967.020438,
"DNK","GDP","TOT","USD_CAP","A","2017",55356.49009,
"DNK","GDP","TOT","USD_CAP","A","2018",57479.350221,
"DNK","GDP","TOT","USD_CAP","A","2019",60760.52243,
"FIN","GDP","TOT","USD_CAP","A","2010",38949.385086,
"FIN","GDP","TOT","USD_CAP","A","2011",40916.647325,
"FIN","GDP","TOT","USD_CAP","A","2012",40872.854802,
"FIN","GDP","TOT","USD_CAP","A","2013",41492.918416,
"FIN","GDP","TOT","USD_CAP","A","2014",41749.864733,
"FIN","GDP","TOT","USD_CAP","A","2015",42490.211049,
"FIN","GDP","TOT","USD_CAP","A","2016",44934.488245,
"FIN","GDP","TOT","USD_CAP","A","2017",47570.270354,
"FIN","GDP","TOT","USD_CAP","A","2018",49573.255773,
"FIN","GDP","TOT","USD_CAP","A","2019",52569.862969,
"FRA","GDP","TOT","USD_CAP","A","2010",35905.820063,
"FRA","GDP","TOT","USD_CAP","A","2011",37447.949543,
"FRA","GDP","TOT","USD_CAP","A","2012",37684.198067,
"FRA","GDP","TOT","USD_CAP","A","2013",39528.473644,
"FRA","GDP","TOT","USD_CAP","A","2014",40144.059485,
"FRA","GDP","TOT","USD_CAP","A","2015",40829.893311,
"FRA","GDP","TOT","USD_CAP","A","2016",42855.944562,
"FRA","GDP","TOT","USD_CAP","A","2017",44444.934559,
"FRA","GDP","TOT","USD_CAP","A","2018",46336.933985,
"FRA","GDP","TOT","USD_CAP","A","2019",50961.748456,
"DEU","GDP","TOT","USD_CAP","A","2010",39670.167839,
"DEU","GDP","TOT","USD_CAP","A","2011",42541.513126,
"DEU","GDP","TOT","USD_CAP","A","2012",43359.541048,
"DEU","GDP","TOT","USD_CAP","A","2013",44993.667838,
"DEU","GDP","TOT","USD_CAP","A","2014",47011.280402,
"DEU","GDP","TOT","USD_CAP","A","2015",47609.557159,
"DEU","GDP","TOT","USD_CAP","A","2016",50579.483717,
"DEU","GDP","TOT","USD_CAP","A","2017",53071.478374,
"DEU","GDP","TOT","USD_CAP","A","2018",55195.722049,
"DEU","GDP","TOT","USD_CAP","A","2019",58251.739301,"P"
"GRC","GDP","TOT","USD_CAP","A","2010",27908.17339,"B"
"GRC","GDP","TOT","USD_CAP","A","2011",25671.409119,
"GRC","GDP","TOT","USD_CAP","A","2012",24911.130276,
"GRC","GDP","TOT","USD_CAP","A","2013",25986.640698,
"GRC","GDP","TOT","USD_CAP","A","2014",26625.159298,
"GRC","GDP","TOT","USD_CAP","A","2015",26760.280798,
"GRC","GDP","TOT","USD_CAP","A","2016",27511.803202,
"GRC","GDP","TOT","USD_CAP","A","2017",28604.829152,
"GRC","GDP","TOT","USD_CAP","A","2018",29617.518625,
"GRC","GDP","TOT","USD_CAP","A","2019",31611.259408,
"HUN","GDP","TOT","USD_CAP","A","2010",21738.896646,
"HUN","GDP","TOT","USD_CAP","A","2011",23029.447178,
"HUN","GDP","TOT","USD_CAP","A","2012",23267.448393,
"HUN","GDP","TOT","USD_CAP","A","2013",24547.980456,
"HUN","GDP","TOT","USD_CAP","A","2014",25691.527335,
"HUN","GDP","TOT","USD_CAP","A","2015",26798.854228,
"HUN","GDP","TOT","USD_CAP","A","2016",27941.926751,
"HUN","GDP","TOT","USD_CAP","A","2017",29496.163748,
"HUN","GDP","TOT","USD_CAP","A","2018",31908.863431,
"HUN","GDP","TOT","USD_CAP","A","2019",35152.603797,
"ISL","GDP","TOT","USD_CAP","A","2010",39773.544476,
"ISL","GDP","TOT","USD_CAP","A","2011",40938.664549,
"ISL","GDP","TOT","USD_CAP","A","2012",42006.543346,
"ISL","GDP","TOT","USD_CAP","A","2013",44404.731588,
